Date,QQQ,SPY,VIX
2010-01-04,40.29079055786133,84.7963638305664,20.040000915527344
2010-01-05,40.29079055786133,85.02085876464844,19.350000381469727
2010-01-06,40.047760009765625,85.0806655883789,19.15999984741211
2010-01-07,40.073795318603516,85.43985748291016,19.059999465942383
2010-01-08,40.40364456176758,85.72416687011719,18.1299991607666
2010-01-11,40.238704681396484,85.84391021728516,17.549999237060547
2010-01-12,39.73529815673828,85.04327392578125,18.25
2010-01-13,40.23002624511719,85.76158142089844,17.850000381469727
2010-01-14,40.26474380493164,85.99353790283203,17.6299991607666
2010-01-15,39.79605484008789,85.02833557128906,17.90999984741211
2010-01-19,40.43833923339844,86.0908203125,17.579999923706055
2010-01-20,39.85679626464844,85.21537780761719,18.68000030517578
2010-01-21,39.48358917236328,83.5767593383789,22.270000457763672
2010-01-22,38.32918930053711,81.71366882324219,27.309999465942383
2010-01-25,38.45939636230469,82.13265228271484,25.40999984741211
2010-01-26,38.49410629272461,81.78853607177734,24.549999237060547
2010-01-27,38.79789733886719,82.17759704589844,23.139999389648438
2010-01-28,37.79973602294922,81.23480987548828,23.729999542236328
2010-01-29,37.14009475708008,80.35189819335938,24.6200008392334
2010-02-01,37.54802703857422,81.6014633178711,22.59000015258789
2010-02-02,37.886539459228516,82.58909606933594,21.479999542236328
2010-02-03,38.09486770629883,82.17759704589844,21.600000381469727
2010-02-04,36.99252700805664,79.64111328125,26.079999923706055
2010-02-05,37.30501937866211,79.80574798583984,26.110000610351562
2010-02-08,37.03591537475586,79.22957611083984,26.510000228881836
2010-02-09,37.4178352355957,80.22472381591797,26.0
2010-02-10,37.339698791503906,80.06758880615234,25.399999618530273
2010-02-11,37.903907775878906,80.90560150146484,23.959999084472656
2010-02-12,37.981998443603516,80.83828735351562,22.729999542236328
2010-02-16,38.46806716918945,82.1102523803711,22.25
2010-02-17,38.68505859375,82.4992904663086,21.719999313354492
2010-02-18,38.928096771240234,82.98567962646484,20.6299991607666
2010-02-19,38.910743713378906,83.15776062011719,20.020000457763672
2010-02-22,38.83261489868164,83.17276000976562,19.940000534057617
2010-02-23,38.32918930053711,82.16262817382812,21.3700008392334
2010-02-24,38.71976852416992,82.91834259033203,20.270000457763672
2010-02-25,38.711090087890625,82.80609130859375,20.100000381469727
2010-02-26,38.8499755859375,82.85842895507812,19.5
2010-03-01,39.414146423339844,83.71893310546875,19.260000228881836
2010-03-02,39.53567123413086,83.95088195800781,19.059999465942383
2010-03-03,39.57907485961914,84.02568817138672,18.829999923706055
2010-03-04,39.709251403808594,84.28009033203125,18.719999313354492
